hora,velocidade,direcao,lat,lon,u,v
2012-07-19 22:00:00,10.8,53,-1.4558299999999997,-49.00444,-8.625263508510763,-6.499602250042123
2012-07-19 23:00:00,9.1,56,-1.4558299999999997,-49.00444,-7.5442419102508795,-5.088655421583796
2012-07-20 00:00:00,8.9,58,-1.4558299999999997,-49.00444,-7.547628055792192,-4.716281451675524
2012-07-20 01:00:00,8.9,63,-1.4558299999999997,-49.00444,-7.929958065276474,-4.040515447681967
2012-07-20 02:00:00,9.2,69,-1.4558299999999997,-49.00444,-8.588939923774255,-3.2969851358167634
2012-07-20 03:00:00,9.3,74,-1.4558299999999997,-49.00444,-8.939733772226367,-2.5634274090980926
2012-07-20 04:00:00,10.2,80,-1.4558299999999997,-49.00444,-10.045039080724521,-1.77121141220269
2012-07-20 05:00:00,11.3,81,-1.4558299999999997,-49.00444,-11.160878248725057,-1.7677094549546095
2012-07-20 06:00:00,11.3,81,-1.4558299999999997,-49.00444,-11.160878248725057,-1.7677094549546095
2012-07-20 07:00:00,10.9,73,-1.4558299999999997,-49.00444,-10.423721839997087,-3.186851581477831
2012-07-20 08:00:00,12.4,68,-1.4558299999999997,-49.00444,-11.497079796628164,-4.645121758357308
2012-07-20 09:00:00,13.4,66,-1.4558299999999997,-49.00444,-12.241509132410853,-5.450271017215723
2012-07-20 10:00:00,13.7,67,-1.4558299999999997,-49.00444,-12.610916492298433,-5.353016460303049
2012-07-20 11:00:00,12.9,72,-1.4558299999999997,-49.00444,-12.26862906020748,-3.986319227436822
2012-07-20 12:00:00,12.2,76,-1.4558299999999997,-49.00444,-11.837607860567156,-2.9514471263159456
2012-07-20 13:00:00,11.4,79,-1.4558299999999997,-49.00444,-11.19054989130337,-2.175222547292612
2012-07-20 14:00:00,8.8,71,-1.4558299999999997,-49.00444,-8.320563465273988,-2.8649997592229797
2012-07-20 15:00:00,15.1,57,-1.4558299999999997,-49.00444,-12.663925575975902,-8.224049428726909
2012-07-20 16:00:00,13.4,54,-1.4558299999999997,-49.00444,-10.840827724624296,-7.87632238071914
2012-07-20 17:00:00,9.6,34,-1.4558299999999997,-49.00444,-5.36825187331917,-7.958760696528399
2012-07-20 18:00:00,7.9,30,-1.4558299999999997,-49.00444,-3.9499999999999997,-6.841600689897066
2012-07-20 19:00:00,11.6,54,-1.4558299999999997,-49.00444,-9.38459713474939,-6.818308926592688
2012-07-20 20:00:00,12.9,54,-1.4558299999999997,-49.00444,-10.436319227436822,-7.582429754572904
2012-07-20 21:00:00,10.0,52,-1.4558299999999997,-49.00444,-7.88010753606722,-6.156614753256583
2012-07-20 22:00:00,7.4,61,-1.4558299999999997,-49.00444,-6.472185832831529,-3.587591189822895
2012-07-20 23:00:00,5.2,78,-1.4558299999999997,-49.00444,-5.086367523815789,-1.0811407922523493
2012-07-21 00:00:00,6.4,74,-1.4558299999999997,-49.00444,-6.1520748540052415,-1.7640790772287946
2012-07-21 01:00:00,9.0,74,-1.4558299999999997,-49.00444,-8.65135526344487,-2.4807362023529924
2012-07-21 02:00:00,9.4,72,-1.4558299999999997,-49.00444,-8.939931253174443,-2.904759747124506
2012-07-21 03:00:00,10.0,75,-1.4558299999999997,-49.00444,-9.659258262890683,-2.5881904510252074
2012-07-21 04:00:00,10.2,80,-1.4558299999999997,-49.00444,-10.045039080724521,-1.77121141220269
2012-07-21 05:00:00,10.5,84,-1.4558299999999997,-49.00444,-10.44247990136687,-1.0975488643103612
2012-07-21 06:00:00,11.7,79,-1.4558299999999997,-49.00444,-11.485038046337667,-2.2324652459055754
2012-07-21 07:00:00,13.7,55,-1.4558299999999997,-49.00444,-11.222383006759188,-7.857997178009332
2012-07-21 08:00:00,16.6,51,-1.4558299999999997,-49.00444,-12.900622960185718,-10.446718491427303
2012-07-21 09:00:00,18.0,53,-1.4558299999999997,-49.00444,-14.37543918085127,-10.832670416736871
2012-07-21 10:00:00,16.1,56,-1.4558299999999997,-49.00444,-13.347504918136172,-9.003005745879024
2012-07-21 11:00:00,15.0,63,-1.4558299999999997,-49.00444,-13.365097862825516,-6.809857496093202
2012-07-21 12:00:00,14.0,64,-1.4558299999999997,-49.00444,-12.583116648188339,-6.1371960550470845
2012-07-21 13:00:00,12.6,63,-1.4558299999999997,-49.00444,-11.226682204773434,-5.72028029671829
2012-07-21 14:00:00,11.6,60,-1.4558299999999997,-49.00444,-10.045894683899487,-5.800000000000001
2012-07-21 15:00:00,12.2,56,-1.4558299999999997,-49.00444,-10.114258385171508,-6.822153422343111
2012-07-21 16:00:00,13.3,52,-1.4558299999999997,-49.00444,-10.480543022969403,-8.188297621831255
2012-07-21 17:00:00,11.2,50,-1.4558299999999997,-49.00444,-8.579697762932554,-7.1992212284892405
2012-07-21 18:00:00,14.2,69,-1.4558299999999997,-49.00444,-13.256842056260265,-5.088824883543265
2012-07-21 19:00:00,16.5,79,-1.4558299999999997,-49.00444,-16.196848526886455,-3.1483484237129913
2012-07-21 20:00:00,15.5,72,-1.4558299999999997,-49.00444,-14.74137600257488,-4.789763412811686
2012-07-21 21:00:00,13.2,68,-1.4558299999999997,-49.00444,-12.238826880281593,-4.944807033090037
2012-07-21 22:00:00,11.8,67,-1.4558299999999997,-49.00444,-10.861957270738797,-4.61062731617343
2012-07-21 23:00:00,11.1,65,-1.4558299999999997,-49.00444,-10.060016436106814,-4.691062705321763
2012-07-22 00:00:00,10.9,63,-1.4558299999999997,-49.00444,-9.71197111365321,-4.948496447161061
2012-07-22 01:00:00,10.9,63,-1.4558299999999997,-49.00444,-9.71197111365321,-4.948496447161061
2012-07-22 02:00:00,11.3,68,-1.4558299999999997,-49.00444,-10.4771775566047,-4.233054505599806
2012-07-22 03:00:00,11.3,73,-1.4558299999999997,-49.00444,-10.806243742382302,-3.303800263366926
2012-07-22 04:00:00,11.7,81,-1.4558299999999997,-49.00444,-11.555953584963111,-1.8302832409707017
2012-07-22 05:00:00,11.2,86,-1.4558299999999997,-49.00444,-11.17271736291003,-0.7812725059342026
2012-07-22 06:00:00,10.5,82,-1.4558299999999997,-49.00444,-10.397814721786489,-1.4613175600806874
2012-07-22 07:00:00,12.2,66,-1.4558299999999997,-49.00444,-11.14525458323973,-4.962187045524762
2012-07-22 08:00:00,13.8,70,-1.4558299999999997,-49.00444,-12.967758166845535,-4.71987797789423
2012-07-22 09:00:00,16.5,74,-1.4558299999999997,-49.00444,-15.860817982982262,-4.548016370980486
2012-07-22 10:00:00,16.7,76,-1.4558299999999997,-49.00444,-16.20393862880914,-4.04009565651445
2012-07-22 11:00:00,16.5,80,-1.4558299999999997,-49.00444,-16.249327924701433,-2.8651949315043517
2012-07-22 12:00:00,14.5,83,-1.4558299999999997,-49.00444,-14.391919198799169,-1.7671054793746386
